Player,Position,Weight,Team,Nationality,Game_Year,Region,Selection_Type,Height_Feet,Height_Inch,Height_In_Inches,NBA_Draft_Year,NBA_Draft_Round,NBA_Draft_Pick
Stephon Marbury,G,180,Phoenix Suns,United States,2003,West,Coaches,6,2,74,1996,1,4
Shawn Marion,F,228,Phoenix Suns,United States,2003,West,Coaches,6,7,79,1999,1,9
Yao Ming,C,310,Houston Rockets,China,2003,West,Fans,7,6,90,2002,1,1
Steve Nash,G,178,Dallas Mavericks,Canada South Africa,2003,West,Coaches,6,3,75,1996,1,15
Dirk Nowitzki,PF,245,Dallas Mavericks,Germany,2003,West,Coaches,7,0,84,1998,1,9
Shaquille O'Neal,C,325,Los Angeles Lakers,United States,2003,West,Coaches,7,1,85,1992,1,1
Gary Payton,G,180,Seattle SuperSonics,United States,2003,West,Coaches,6,4,76,1990,1,2
Peja Stojakovic,F,229,Sacramento Kings,Serbia Greece,2003,West,Replacement,6,10,82,1996,1,14
Chris Webber,F-C,245,Sacramento Kings,United States,2003,West,Coaches,6,9,81,1993,1,1
Ray Allen,SG,205,Seattle SuperSonics,United States,2004,West,Coaches,6,5,77,1996,1,5
Kobe Bryant,SG,212,Los Angeles Lakers,United States,2004,West,Fans,6,6,78,1996,1,13
Sam Cassell,G,185,Minnesota Timberwolves,United States,2004,West,Coaches,6,3,75,1993,1,24
Tim Duncan,FC,250,San Antonio Spurs,United States,2004,West,Fans,6,11,83,1997,1,1
Steve Francis,G,195,Houston Rockets,United States,2004,West,Fans,6,3,75,1999,1,2
Kevin Garnett,PF,240,Minnesota Timberwolves,United States,2004,West,Fans,6,11,83,1995,1,5
Andrei Kirilenko,PF,235,Utah Jazz,Russia,2004,West,Coaches,6,9,81,1999,1,24
Brad Miller,C,261,Sacramento Kings,United States,2004,West,Coaches,7,0,84,-,-,-
Yao Ming,C,310,Houston Rockets,China,2004,West,Fans,7,6,90,2002,1,1
Dirk Nowitzki,PF,245,Dallas Mavericks,Germany,2004,West,Coaches,7,0,84,1998,1,9
Shaquille O'Neal,C,325,Los Angeles Lakers,United States,2004,West,Coaches,7,1,85,1992,1,1
Peja Stojakovic,F,229,Sacramento Kings,Serbia Greece,2004,West,Coaches,6,10,82,1996,1,14
Vince Carter,SF,220,Toronto Raptors,United States,2004,East,Fans,6,6,78,1998,1,5
Baron Davis,G,215,New Orleans Hornets,United States,2004,East,Coaches,6,3,75,1999,1,3
Allen Iverson,G,165,Philadelphia Sixers,United States,2004,East,Fans,6,0,72,1996,1,1
Jason Kidd,PG,210,New Jersey Nets,United States,2004,East,Coaches,6,4,76,1994,1,2
Jamaal Magloire,C,259,New Orleans Hornets,Canada,2004,East,Coaches,6,11,83,2000,1,19
Kenyon Martin,F,240,New Jersey Nets,United States,2004,East,Coaches,6,9,81,2000,1,1
Tracy McGrady,GF,210,Orlando Magic,United States,2004,East,Fans,6,8,80,1997,1,9
Jermaine O'Neal,FC,235,Indiana Pacers,United States,2004,East,Fans,6,11,83,1996,1,17
Paul Pierce,SF,235,Boston Celtics,United States,2004,East,Coaches,6,7,79,1998,1,10
Michael Redd,G,220,Milwaukee Bucks,United States,2004,East,Coaches,6,6,78,2000,2,14
Ben Wallace,FC,240,Detroit Pistons,United States,2004,East,Fans,6,9,81,-,-,-
Metta World Peace,SF,260,Indiana Pacers,United States,2004,East,Coaches,6,7,79,1999,1,16
Ray Allen,SG,205,Seattle SuperSonics,United States,2005,West,Coaches,6,5,77,1996,1,5
Kobe Bryant,SG,212,Los Angeles Lakers,United States,2005,West,Fans,6,6,78,1996,1,13
Tim Duncan,FC,250,San Antonio Spurs,United States,2005,West,Fans,6,11,83,1997,1,1
Kevin Garnett,PF,240,Minnesota Timberwolves,United States,2005,West,Fans,6,11,83,1995,1,5
Manu Ginobili,SG,205,San Antonio Spurs,Argentina,2005,West,Coaches,6,6,78,1999,2,28
Rashard Lewis,F,235,Seattle SuperSonics,United States,2005,West,Coaches,6,10,82,1998,2,3
Shawn Marion,F,228,Phoenix Suns,United States,2005,West,Coaches,6,7,79,1999,1,9
Tracy McGrady,GF,210,Houston Rockets,United States,2005,West,Fans,6,8,80,1997,1,9
Yao Ming,C,310,Houston Rockets,China,2005,West,Fans,7,6,90,2002,1,1
Steve Nash,G,178,Phoenix Suns,Canada South Africa,2005,West,Coaches,6,3,75,1996,1,15
Dirk Nowitzki,PF,245,Dallas Mavericks,Germany,2005,West,Coaches,7,0,84,1998,1,9
Amar'e Stoudemire,FC,245,Phoenix Suns,United States,2005,West,Coaches,6,10,82,2002,1,9
Gilbert Arenas,G,191,Washington Wizards,United States,2005,East,Coaches,6,3,75,2001,2,2
Vince Carter,SF,220,New Jersey Nets,United States,2005,East,Fans,6,6,78,1998,1,5
Grant Hill,SF,225,Orlando Magic,United States,2005,East,Fans,6,8,80,1994,1,3
Zydrunas Ilgauskas,C,260,Cleveland Cavaliers,Lithuania,2005,East,Coaches,7,3,87,1996,1,20
Allen Iverson,G,165,Philadelphia Sixers,United States,2005,East,Fans,6,0,72,1996,1,1
LeBron James,F,250,Cleveland Cavaliers,United States,2005,East,Fans,6,9,81,2003,1,1
Antawn Jamison,F,235,Washington Wizards,United States,2005,East,Coaches,6,9,81,1998,1,4
Jermaine O'Neal,FC,235,Indiana Pacers,United States,2005,East,Coaches,6,11,83,1996,1,17
Shaquille O'Neal,C,325,Miami Heat,United States,2005,East,Fans,7,1,85,1992,1,1
Paul Pierce,SF,235,Boston Celtics,United States,2005,East,Coaches,6,7,79,1998,1,10
Dwyane Wade,SG,220,Miami Heat,United States,2005,East,Coaches,6,4,76,2003,1,5
Ben Wallace,FC,240,Detroit Pistons,United States,2005,East,Coaches,6,9,81,-,-,-
Ray Allen,SG,205,Seattle SuperSonics,United States,2006,West,Coaches,6,5,77,1996,1,5
Elton Brand,PF,254,Los Angeles Clippers,United States,2006,West,Coaches,6,9,81,1999,1,1
Kobe Bryant,SG,212,Los Angeles Lakers,United States,2006,West,Fans,6,6,78,1996,1,13
Tim Duncan,FC,250,San Antonio Spurs,United States,2006,West,Fans,6,11,83,1997,1,1
Kevin Garnett,PF,240,Minnesota Timberwolves,United States,2006,West,Coaches,6,11,83,1995,1,5
Pau Gasol,FC,250,Memphis Grizzlies,Spain,2006,West,Coaches,7,0,84,2001,1,3
Shawn Marion,F,228,Phoenix Suns,United States,2006,West,Coaches,6,7,79,1999,1,9
Tracy McGrady,GF,210,Houston Rockets,United States,2006,West,Fans,6,8,80,1997,1,9
Yao Ming,C,310,Houston Rockets,China,2006,West,Fans,7,6,90,2002,1,1
Steve Nash,G,178,Phoenix Suns,Canada South Africa,2006,West,Fans,6,3,75,1996,1,15
Dirk Nowitzki,PF,245,Dallas Mavericks,Germany,2006,West,Coaches,7,0,84,1998,1,9
Tony Parker,G,185,San Antonio Spurs,France,2006,West,Coaches,6,2,74,2001,1,28
Gilbert Arenas,G,191,Washington Wizards,United States,2006,East,Replacement,6,3,75,2001,2,2
Chauncey Billups,G,210,Detroit Pistons,United States,2006,East,Coaches,6,3,75,1997,1,3
Chris Bosh,PF,235,Toronto Raptors,United States,2006,East,Coaches,6,11,83,2003,1,4
Vince Carter,SF,220,New Jersey Nets,United States,2006,East,Coaches,6,6,78,1998,1,5
Richard Hamilton,SG,193,Detroit Pistons,United States,2006,East,Coaches,6,7,79,1999,1,7
Allen Iverson,G,165,Philadelphia Sixers,United States,2006,East,Fans,6,0,72,1996,1,1
LeBron James,F,250,Cleveland Cavaliers,United States,2006,East,Fans,6,9,81,2003,1,1
Jermaine O'Neal,FC,235,Indiana Pacers,United States,2006,East,Fans,6,11,83,1996,1,17
Shaquille O'Neal,C,325,Miami Heat,United States,2006,East,Fans,7,1,85,1992,1,1
Paul Pierce,SF,235,Boston Celtics,United States,2006,East,Coaches,6,7,79,1998,1,10
Dwyane Wade,SG,220,Miami Heat,United States,2006,East,Fans,6,4,76,2003,1,5
Ben Wallace,FC,240,Detroit Pistons,United States,2006,East,Coaches,6,9,81,-,-,-
Rasheed Wallace,FC,230,Detroit Pistons,United States,2006,East,Coaches,6,11,83,1995,1,4
Ray Allen,SG,205,Seattle SuperSonics,United States,2007,West,Replacement,6,5,77,1996,1,5
Carmelo Anthony,F,240,Denver Nuggets,United States,2007,West,Replacement,6,8,80,2003,1,3
Carlos Boozer,PF,266,Utah Jazz,Germany United States,2007,West,Coaches,6,9,81,2002,2,6
Kobe Bryant,SG,212,Los Angeles Lakers,United States,2007,West,Fans,6,6,78,1996,1,13
Tim Duncan,FC,250,San Antonio Spurs,United States,2007,West,Fans,6,11,83,1997,1,1
Kevin Garnett,PF,240,Minnesota Timberwolves,United States,2007,West,Fans,6,11,83,1995,1,5
Josh Howard,GF,210,Dallas Mavericks,United States,2007,West,Replacement,6,7,79,2003,1,29
Allen Iverson,G,165,Denver Nuggets,United States,2007,West,Coaches,6,0,72,1996,1,1
Shawn Marion,F,228,Phoenix Suns,United States,2007,West,Coaches,6,7,79,1999,1,9
Tracy McGrady,GF,210,Houston Rockets,United States,2007,West,Fans,6,8,80,1997,1,9
Yao Ming,C,310,Houston Rockets,China,2007,West,Fans,7,6,90,2002,1,1
Steve Nash,G,178,Phoenix Suns,Canada South Africa,2007,West,Coaches,6,3,75,1996,1,15
Dirk Nowitzki,PF,245,Dallas Mavericks,Germany,2007,West,Coaches,7,0,84,1998,1,9
Mehmet Okur,FC,249,Utah Jazz,Turkey,2007,West,Replacement,6,11,83,2001,2,9
Tony Parker,G,185,San Antonio Spurs,France,2007,West,Coaches,6,2,74,2001,1,28
Amar'e Stoudemire,FC,245,Phoenix Suns,United States,2007,West,Coaches,6,10,82,2002,1,9
Gilbert Arenas,G,191,Washington Wizards,United States,2007,East,Fans,6,3,75,2001,2,2
Chauncey Billups,G,210,Detroit Pistons,United States,2007,East,Coaches,6,3,75,1997,1,3
Chris Bosh,PF,235,Toronto Raptors,United States,2007,East,Fans,6,11,83,2003,1,4
Caron Butler,SF,228,Washington Wizards,United States,2007,East,Coaches,6,7,79,2002,1,10
Vince Carter,SF,220,New Jersey Nets,United States,2007,East,Coaches,6,6,78,1998,1,5
Richard Hamilton,SG,193,Detroit Pistons,United States,2007,East,Coaches,6,7,79,1999,1,7
Dwight Howard,C,265,Orlando Magic,United States,2007,East,Coaches,6,11,83,2004,1,1
LeBron James,F,250,Cleveland Cavaliers,United States,2007,East,Fans,6,9,81,2003,1,1
Joe Johnson,SG,240,Atlanta Hawks,United States,2007,East,Replacement,6,7,79,2001,1,10
Jason Kidd,PG,210,New Jersey Nets,United States,2007,East,Coaches,6,4,76,1994,1,2
Jermaine O'Neal,FC,235,Indiana Pacers,United States,2007,East,Coaches,6,11,83,1996,1,17
Shaquille O'Neal,C,325,Miami Heat,United States,2007,East,Fans,7,1,85,1992,1,1
Dwyane Wade,SG,220,Miami Heat,United States,2007,East,Fans,6,4,76,2003,1,5
Carmelo Anthony,F,240,Denver Nuggets,United States,2008,West,Fans,6,8,80,2003,1,3
Carlos Boozer,PF,266,Utah Jazz,Germany United States,2008,West,Coaches,6,9,81,2002,2,6
Kobe Bryant,SG,212,Los Angeles Lakers,United States,2008,West,Fans,6,6,78,1996,1,13
Tim Duncan,FC,250,San Antonio Spurs,United States,2008,West,Fans,6,11,83,1997,1,1
Allen Iverson,G,165,Denver Nuggets,United States,2008,West,Fans,6,0,72,1996,1,1
Yao Ming,C,310,Houston Rockets,China,2008,West,Fans,7,6,90,2002,1,1
Steve Nash,G,178,Phoenix Suns,Canada South Africa,2008,West,Coaches,6,3,75,1996,1,15
Dirk Nowitzki,PF,245,Dallas Mavericks,Germany,2008,West,Coaches,7,0,84,1998,1,9
Chris Paul,PG,175,New Orleans Hornets,United States,2008,West,Coaches,6,0,72,2005,1,4
Brandon Roy,G,211,Portland Trail Blazers,United States,2008,West,Coaches,6,6,78,2006,1,6
Amar'e Stoudemire,FC,245,Phoenix Suns,United States,2008,West,Coaches,6,10,82,2002,1,9
David West,PF,250,New Orleans Hornets,United States,2008,West,Coaches,6,9,81,2003,1,18
Ray Allen,SG,205,Boston Celtics,United States,2008,East,Replacement,6,5,77,1996,1,5
Chauncey Billups,G,210,Detroit Pistons,United States,2008,East,Coaches,6,3,75,1997,1,3
Chris Bosh,PF,235,Toronto Raptors,United States,2008,East,Coaches,6,11,83,2003,1,4
Caron Butler,SF,228,Washington Wizards,United States,2008,East,Coaches,6,7,79,2002,1,10
Kevin Garnett,PF,240,Boston Celtics,United States,2008,East,Fans,6,11,83,1995,1,5
Richard Hamilton,SG,193,Detroit Pistons,United States,2008,East,Coaches,6,7,79,1999,1,7
Dwight Howard,C,265,Orlando Magic,United States,2008,East,Fans,6,11,83,2004,1,1
LeBron James,F,250,Cleveland Cavaliers,United States,2008,East,Fans,6,9,81,2003,1,1
Antawn Jamison,F,235,Washington Wizards,United States,2008,East,Coaches,6,9,81,1998,1,4
Joe Johnson,SG,240,Atlanta Hawks,United States,2008,East,Coaches,6,7,79,2001,1,10
Jason Kidd,PG,210,New Jersey Nets,United States,2008,East,Fans,6,4,76,1994,1,2
Paul Pierce,SF,235,Boston Celtics,United States,2008,East,Coaches,6,7,79,1998,1,10
Dwyane Wade,SG,220,Miami Heat,United States,2008,East,Fans,6,4,76,2003,1,5
Rasheed Wallace,FC,230,Detroit Pistons,United States,2008,East,Replacement,6,11,83,1995,1,4
Chauncey Billups,G,210,Denver Nuggets,United States,2009,West,Coaches,6,3,75,1997,1,3
Kobe Bryant,SG,212,Los Angeles Lakers,United States,2009,West,Fans,6,6,78,1996,1,13
Tim Duncan,FC,250,San Antonio Spurs,United States,2009,West,Fans,6,11,83,1997,1,1
Pau Gasol,FC,250,Los Angeles Lakers,Spain,2009,West,Coaches,7,0,84,2001,1,3
Yao Ming,C,310,Houston Rockets,China,2009,West,Fans,7,6,90,2002,1,1
Dirk Nowitzki,PF,245,Dallas Mavericks,Germany,2009,West,Coaches,7,0,84,1998,1,9
Shaquille O'Neal,C,325,Phoenix Suns,United States,2009,West,Coaches,7,1,85,1992,1,1
Tony Parker,G,185,San Antonio Spurs,France,2009,West,Coaches,6,2,74,2001,1,28
Chris Paul,PG,175,New Orleans Hornets,United States,2009,West,Fans,6,0,72,2005,1,4
Brandon Roy,G,211,Portland Trail Blazers,United States,2009,West,Coaches,6,6,78,2006,1,6
Amar'e Stoudemire,FC,245,Phoenix Suns,United States,2009,West,Fans,6,10,82,2002,1,9
David West,PF,250,New Orleans Hornets,United States,2009,West,Coaches,6,9,81,2003,1,18
Ray Allen,SG,205,Boston Celtics,United States,2009,East,Replacement,6,5,77,1996,1,5
Chris Bosh,PF,235,Toronto Raptors,United States,2009,East,Coaches,6,11,83,2003,1,4
Kevin Garnett,PF,240,Boston Celtics,United States,2009,East,Fans,6,11,83,1995,1,5
Danny Granger,GF,222,Indiana Pacers,United States,2009,East,Coaches,6,9,81,2005,1,17
Devin Harris,G,185,New Jersey Nets,United States,2009,East,Coaches,6,3,75,2004,1,5
Dwight Howard,C,265,Orlando Magic,United States,2009,East,Fans,6,11,83,2004,1,1
Allen Iverson,G,165,Detroit Pistons,United States,2009,East,Fans,6,0,72,1996,1,1
LeBron James,F,250,Cleveland Cavaliers,United States,2009,East,Fans,6,9,81,2003,1,1
Joe Johnson,SG,240,Atlanta Hawks,United States,2009,East,Coaches,6,7,79,2001,1,10
Rashard Lewis,F,235,Orlando Magic,United States,2009,East,Coaches,6,10,82,1998,2,3
Jameer Nelson,G,190,Orlando Magic,United States,2009,East,Coaches,6,0,72,2004,1,20
Paul Pierce,SF,235,Boston Celtics,United States,2009,East,Coaches,6,7,79,1998,1,10
Dwyane Wade,SG,220,Miami Heat,United States,2009,East,Fans,6,4,76,2003,1,5
Mo Williams,G,198,Cleveland Cavaliers,United States,2009,East,Replacement,6,1,73,2003,2,18
Carmelo Anthony,F,240,Denver Nuggets,United States,2010,West,Fans,6,8,80,2003,1,3
Chauncey Billups,G,210,Denver Nuggets,United States,2010,West,Replacement,6,3,75,1997,1,3
Kobe Bryant,SG,212,Los Angeles Lakers,United States,2010,West,Fans,6,6,78,1996,1,13
Tim Duncan,FC,250,San Antonio Spurs,United States,2010,West,Fans,6,11,83,1997,1,1
Kevin Durant,SF,240,Oklahoma City Thunder,United States,2010,West,Coaches,6,10,82,2007,1,2
Pau Gasol,FC,250,Los Angeles Lakers,Spain,2010,West,Coaches,7,0,84,2001,1,3
Chris Kaman,C,265,Los Angeles Clippers,United States Germany,2010,West,Replacement,7,0,84,2003,1,6
Jason Kidd,PG,210,Dallas Mavericks,United States,2010,West,Replacement,6,4,76,1994,1,2
Steve Nash,G,178,Phoenix Suns,Canada South Africa,2010,West,Fans,6,3,75,1996,1,15
Dirk Nowitzki,PF,245,Dallas Mavericks,Germany,2010,West,Coaches,7,0,84,1998,1,9
Chris Paul,PG,175,New Orleans Hornets,United States,2010,West,Coaches,6,0,72,2005,1,4
Zach Randolph,PF,260,Memphis Grizzlies,United States,2010,West,Coaches,6,9,81,2001,1,19
Brandon Roy,G,211,Portland Trail Blazers,United States,2010,West,Coaches,6,6,78,2006,1,6
Amar'e Stoudemire,FC,245,Phoenix Suns,United States,2010,West,Fans,6,10,82,2002,1,9
Deron Williams,PG,200,Utah Jazz,United States,2010,West,Coaches,6,3,75,2005,1,3
Chris Bosh,PF,235,Toronto Raptors,United States,2010,East,Coaches,6,11,83,2003,1,4
Kevin Garnett,PF,240,Boston Celtics,United States,2010,East,Fans,6,11,83,1995,1,5
Al Horford,FC,240,Atlanta Hawks,Dominican Republic United States,2010,East,Coaches,6,9,81,2007,1,3
Dwight Howard,C,265,Orlando Magic,United States,2010,East,Fans,6,11,83,2004,1,1
Allen Iverson,G,165,Philadelphia Sixers,United States,2010,East,Fans,6,0,72,1996,1,1
LeBron James,F,250,Cleveland Cavaliers,United States,2010,East,Fans,6,9,81,2003,1,1
Joe Johnson,SG,240,Atlanta Hawks,United States,2010,East,Coaches,6,7,79,2001,1,10
David Lee,FC,245,New York Knicks,United States,2010,East,Replacement,6,9,81,2005,1,30
Paul Pierce,SF,235,Boston Celtics,United States,2010,East,Coaches,6,7,79,1998,1,10
Rajon Rondo,PG,180,Boston Celtics,United States,2010,East,Coaches,6,1,73,2006,1,21
Derrick Rose,PG,200,Chicago Bulls,United States,2010,East,Coaches,6,3,75,2008,1,1
Dwyane Wade,SG,220,Miami Heat,United States,2010,East,Fans,6,4,76,2003,1,5
Gerald Wallace,F,220,Charlotte Bobcats,United States,2010,East,Coaches,6,7,79,2001,1,25
